task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
41	cd/2a6efe	855578	db_search_comet (13)	COMPLETED	0	2022-07-11 08:26:31.460	6m 2s	6m 1s	100.7%	3.3 GB	3.5 GB	3.5 GB	133.5 MB
47	71/ff2624	880902	db_search_comet (19)	COMPLETED	0	2022-07-11 08:31:48.943	5m 20s	5m 19s	109.1%	3.1 GB	3.3 GB	3.4 GB	130.9 MB
49	eb/e3751c	882293	db_search_comet (21)	COMPLETED	0	2022-07-11 08:32:02.109	5m 11s	5m 10s	109.1%	3.1 GB	3.3 GB	3.6 GB	135.6 MB
29	a2/2bebf6	882846	db_search_comet (1)	COMPLETED	0	2022-07-11 08:32:03.581	5m 17s	5m 16s	109.3%	3.1 GB	3.3 GB	3.4 GB	133.4 MB
36	10/9dcc9f	886037	db_search_comet (8)	COMPLETED	0	2022-07-11 08:32:26.616	5m 19s	5m 19s	106.8%	3.4 GB	3.5 GB	3.4 GB	131.3 MB
48	2b/3ef8a6	883790	db_search_comet (20)	COMPLETED	0	2022-07-11 08:32:08.602	5m 39s	5m 38s	107.0%	3.1 GB	3.2 GB	3.7 GB	137.9 MB
30	6c/791201	887010	db_search_comet (2)	COMPLETED	0	2022-07-11 08:32:33.846	5m 15s	5m 14s	107.9%	5 GB	5.2 GB	3.7 GB	137 MB
45	ff/8a6a46	906764	db_search_comet (17)	COMPLETED	0	2022-07-11 08:37:13.047	5m 15s	5m 14s	105.7%	3.1 GB	3.2 GB	3.5 GB	133.1 MB
35	52/29ef6a	908089	db_search_comet (7)	COMPLETED	0	2022-07-11 08:37:20.317	5m 26s	5m 25s	108.0%	3.1 GB	3.2 GB	3.4 GB	131.9 MB
42	81/89713d	906104	db_search_comet (14)	COMPLETED	0	2022-07-11 08:37:08.917	5m 44s	5m 43s	107.2%	3.1 GB	3.2 GB	3.6 GB	135.7 MB
33	13/a303ad	911057	db_search_comet (5)	COMPLETED	0	2022-07-11 08:37:47.945	5m 6s	5m 5s	107.9%	3.1 GB	3.2 GB	3.4 GB	132.2 MB
31	7b/c9da5a	910673	db_search_comet (3)	COMPLETED	0	2022-07-11 08:37:46.032	5m 24s	5m 23s	107.0%	3.1 GB	3.2 GB	3.4 GB	131.2 MB
46	7f/a75f49	911384	db_search_comet (18)	COMPLETED	0	2022-07-11 08:37:49.010	5m 32s	5m 31s	108.1%	3.1 GB	3.3 GB	3.5 GB	133.2 MB
52	cc/24260d	933258	db_search_comet (24)	COMPLETED	0	2022-07-11 08:42:45.837	5m 15s	5m 14s	110.8%	5.9 GB	6 GB	3.6 GB	135.6 MB
51	75/1479c0	934580	db_search_comet (23)	COMPLETED	0	2022-07-11 08:42:54.251	5m 20s	5m 19s	109.9%	3.2 GB	3.3 GB	3.3 GB	129.5 MB
37	f1/aef19a	931375	db_search_comet (9)	COMPLETED	0	2022-07-11 08:42:28.300	5m 46s	5m 45s	108.3%	3.1 GB	3.3 GB	3.4 GB	130 MB
38	bc/9784e9	934249	db_search_comet (10)	COMPLETED	0	2022-07-11 08:42:53.223	5m 36s	5m 35s	107.9%	3.1 GB	3.3 GB	3.4 GB	129.9 MB
43	38/dc5d4e	936820	db_search_comet (15)	COMPLETED	0	2022-07-11 08:43:10.151	5m 47s	5m 46s	107.8%	3.1 GB	3.3 GB	3.6 GB	136.4 MB
34	b7/a347a3	938248	db_search_comet (6)	COMPLETED	0	2022-07-11 08:43:21.273	5m 42s	5m 41s	106.8%	3.1 GB	3.2 GB	3.4 GB	131.1 MB
55	7a/14b3c4	959077	db_search_comet (27)	COMPLETED	0	2022-07-11 08:48:14.281	5m 12s	5m 11s	110.5%	3.1 GB	3.3 GB	3.7 GB	136.6 MB
54	fd/9c9721	957465	db_search_comet (26)	COMPLETED	0	2022-07-11 08:48:00.797	5m 27s	5m 26s	107.1%	5.9 GB	6 GB	3.4 GB	132.5 MB
53	85/a6b796	959157	db_search_comet (25)	COMPLETED	0	2022-07-11 08:48:14.593	5m 15s	5m 14s	109.8%	3.3 GB	3.4 GB	3.4 GB	131 MB
76	01/8de66c	975733	run_peptideprophet (21)	COMPLETED	0	2022-07-11 08:53:29.843	40s	38.1s	101.0%	120.8 MB	316.8 MB	531.9 MB	134.5 MB
60	de/c0d4a0	975615	run_peptideprophet (5)	COMPLETED	0	2022-07-11 08:53:29.795	40.7s	39.2s	101.1%	120.5 MB	313.4 MB	546.1 MB	138.5 MB
67	50/8e5136	975614	run_peptideprophet (12)	COMPLETED	0	2022-07-11 08:53:29.786	40.8s	39s	101.2%	121.1 MB	313.8 MB	559.4 MB	141.6 MB
58	95/375abc	975626	run_peptideprophet (3)	COMPLETED	0	2022-07-11 08:53:29.811	41.1s	39s	100.7%	121 MB	313.6 MB	555.7 MB	140.4 MB
73	68/0a0ae1	975685	run_peptideprophet (18)	COMPLETED	0	2022-07-11 08:53:29.833	42s	39.1s	100.8%	120.7 MB	313.5 MB	545.6 MB	138.3 MB
68	6c/3c13c3	975662	run_peptideprophet (13)	COMPLETED	0	2022-07-11 08:53:29.827	42.2s	39.7s	100.8%	120.8 MB	313.2 MB	545 MB	138.1 MB
72	d7/ed4015	975643	run_peptideprophet (17)	COMPLETED	0	2022-07-11 08:53:29.820	42.5s	39.7s	100.4%	120.8 MB	313.3 MB	540.6 MB	137.2 MB
65	de/944c74	975772	run_peptideprophet (10)	COMPLETED	0	2022-07-11 08:53:29.850	42.8s	39.2s	100.6%	120.9 MB	313.8 MB	539.6 MB	136.8 MB
71	b1/295c22	975815	run_peptideprophet (16)	COMPLETED	0	2022-07-11 08:53:29.857	42.9s	39.4s	100.0%	120.9 MB	313 MB	540.8 MB	137 MB
57	a2/b06cd7	975620	run_peptideprophet (2)	COMPLETED	0	2022-07-11 08:53:29.804	43.1s	40.7s	99.2%	120.7 MB	312.7 MB	553.4 MB	140 MB
63	b1/e1f0c9	975877	run_peptideprophet (8)	COMPLETED	0	2022-07-11 08:53:29.866	43.1s	39.6s	100.1%	120.9 MB	312.8 MB	553.6 MB	140.1 MB
66	7a/90a962	999979	run_peptideprophet (11)	COMPLETED	0	2022-07-11 08:54:09.886	38.7s	36.9s	100.7%	121 MB	262.4 MB	560.5 MB	141.7 MB
69	95/a88fa8	1000231	run_peptideprophet (14)	COMPLETED	0	2022-07-11 08:54:10.502	39.9s	37.1s	100.6%	120.8 MB	262.3 MB	543.6 MB	138 MB
70	eb/409cb1	1000306	run_peptideprophet (15)	COMPLETED	0	2022-07-11 08:54:10.582	41.3s	38.6s	100.3%	121 MB	313.6 MB	555 MB	140.6 MB
77	f7/fa8936	1001167	run_peptideprophet (22)	COMPLETED	0	2022-07-11 08:54:11.833	40.8s	38.5s	100.6%	120.9 MB	262.1 MB	532 MB	134.7 MB
59	49/62bd3d	1001997	run_peptideprophet (4)	COMPLETED	0	2022-07-11 08:54:12.919	40.1s	38.1s	100.7%	120.8 MB	262.3 MB	539.5 MB	136.7 MB
56	de/6ebceb	1001747	run_peptideprophet (1)	COMPLETED	0	2022-07-11 08:54:12.799	40.4s	38.5s	100.5%	120.9 MB	313.3 MB	545.3 MB	138.1 MB
81	c5/4694e0	1002156	run_peptideprophet (26)	COMPLETED	0	2022-07-11 08:54:12.963	40.4s	38.4s	101.0%	120.7 MB	190.4 MB	542.7 MB	137.5 MB
64	46/75d534	1001428	run_peptideprophet (9)	COMPLETED	0	2022-07-11 08:54:12.284	41.4s	39s	100.7%	120.8 MB	313.7 MB	548.5 MB	139.2 MB
78	3f/d33290	1001661	run_peptideprophet (23)	COMPLETED	0	2022-07-11 08:54:12.677	41.1s	39.1s	101.2%	120.9 MB	313.6 MB	557.4 MB	141.2 MB
61	89/65c95f	1000565	run_peptideprophet (6)	COMPLETED	0	2022-07-11 08:54:10.925	43.7s	40.3s	101.2%	120.8 MB	313.3 MB	547.2 MB	138.7 MB
80	16/1f6bfb	1001287	run_peptideprophet (25)	COMPLETED	0	2022-07-11 08:54:12.046	42.6s	39.8s	101.0%	120.9 MB	313.4 MB	555.8 MB	140.4 MB
85	6e/d399a4	1026002	run_proteinprophet (3)	COMPLETED	0	2022-07-11 08:54:53.659	6.4s	4.5s	101.4%	44.1 MB	128.9 MB	55.4 MB	3.9 MB
86	46/d82331	1026067	run_proteinprophet (4)	COMPLETED	0	2022-07-11 08:54:53.747	6.4s	4.3s	101.9%	43.2 MB	128.9 MB	53.9 MB	4.3 MB
87	64/a589c8	1027030	run_proteinprophet (5)	COMPLETED	0	2022-07-11 08:54:54.592	5.9s	4.3s	101.5%	43.6 MB	128.7 MB	54.9 MB	4 MB
84	a4/4c204a	1025805	run_proteinprophet (2)	COMPLETED	0	2022-07-11 08:54:53.326	7.3s	5s	101.3%	44.7 MB	129 MB	56.6 MB	4 MB
88	ab/58eb42	1027041	run_proteinprophet (6)	COMPLETED	0	2022-07-11 08:54:54.613	6.8s	5s	101.6%	43.7 MB	128.7 MB	54.8 MB	4 MB
83	44/610ea9	1025731	run_proteinprophet (1)	COMPLETED	0	2022-07-11 08:54:53.216	8.3s	5.8s	101.4%	44.2 MB	129.7 MB	53.9 MB	4.8 MB
91	be/2fad1d	1032646	run_proteinprophet (9)	COMPLETED	0	2022-07-11 08:55:00.521	6.9s	4.5s	101.2%	43 MB	128.6 MB	54.2 MB	3.8 MB
